GH,가나
GA,가봉
GY,가이아나
GM,감비아
GG,건지
GP,과델로페도
GT,과테말라
GU,괌
XZ,국제 지역
GD,그레나다
GE,그루지아
GR,그리스
GL,그린랜드
GN,기니
GW,기니비사우
ZZ,기타국가
NA,나미비아
NR,나우루
NG,나이지리아
SS,남수단
ZA,남아프리카
GS,남조지아 군도
NL,네덜란드
NP,네팔
NO,노르웨이
NF,노퍽도
NZ,뉴질랜드
NC,뉴칼레도니아
NU,니우에
NE,니제르
NI,니카라과
KR,대한민국
YD,데모크래틱 예멘
DK,덴마크
DO,도미니카 공화국
DM,도미니카 연방
DE,독일
TP,동티모
LA,라오스
LR,라이베리아
LV,라트비아
RU,러시아연방
LB,레바논
LS,레소토
RO,루마니아
LU,룩셈부르그
RW,르완다
LY,리비아
RE,리유니온
LT,리투아니아
LI,리히텐슈타인
MG,마다가스카르
MH,마샬군도
MO,마카오
MK,마케도니아
MQ,마티니크도
MW,말라위
MY,말레이시아
ML,말리
IM,맨섬
YT,메이요트
MX,멕시코
MC,모나코
MA,모로코
MU,모리셔스
MR,모리타니
MZ,모잠비크
ME,몬테네그로
MS,몬트세라트
MD,몰도바
MV,몰디브
MT,몰타
MN,몽고
US,미국
VI,미국령 버진제도
AS,미국령 사모아
MM,미얀마
FM,미크로네시아
VU,바누아투
BH,바레인
BB,바베이도스
VA,바티칸
BS,바하마
BD,방글라데시
BM,버뮤다
VE,베네수엘라
BJ,베닝
VN,베트남
BE,벨기에
BY,벨라루스
BZ,벨리즈
BQ,"보네르,신트유스타티우스,사바"
BA,보스니아-헤르체고비아
BW,보츠와나
BO,볼리비아
BV,볼벳도
BI,부룬디
BF,부르키나 파소
BT,부탄
MP,북부 마리아나 군도
KP,북한
BG,불가리아
BR,브라질
BN,브루나이
SA,사우디아라비아
CY,사이프러스
SM,산 마리노
ST,상토메프린시페
WS,서사모아
EH,서사하라
SN,세네갈
RS,세르비아
CS,세르비아 몬테네그로
SC,세이쉴
LC,세인트 루이스
VC,세인트 빈센트 그레나딘
KN,세인트 킷츠네비스
SH,세인트 헬레나
PM,"세인트리에르도,미괘론도"
SU,소련
SO,소말리아
SB,솔로몬 아일랜드
SD,수단
SR,수리남
LK,스리랑카
SJ,"스발바드, 잠마엔도"
SZ,스와질란드
SE,스웨덴
CH,스위스
ES,스페인
SK,슬로바키아
SI,슬로베니아
SY,시리아
SL,시에라 리온
SX,신트마르텐
SG,싱가포르
AE,아랍에미리트연합
AW,아루바
AM,아르메니아
AR,아르헨티나
UM,아우트라잉 군도
IS,아이슬란드
HT,아이티
IE,아일랜드
AZ,아제르바이잔
AF,아프카니스탄
AI,안굴라
AD,안도라
AQ,안타티카
AL,알바니아
DZ,알제리
AO,앙골라
AG,앤티가 바부다
AN,앤틸리스제도
ER,에리트리아
EE,에스토니아
EC,에콰도르
SV,엘살바도르
GB,영국
VG,영국령 버진제도
IO,영국령 인도양 지역
YE,예멘
OM,오만
AT,오스트리아
HN,온두라스
WF,"왈리, 푸트나제도"
JO,요르단
UG,우간다
UY,우루과이
UZ,우즈베키스탄
UA,우크라이나
OC,원양어획지역
YU,유고슬라비아
ET,이디오피아
IQ,이라크
IR,이란
IL,이스라엘
EG,이집트
IT,이탈리아
IN,인도
ID,인도네시아
JP,일본
JM,자메이카
ZR,자이르
ZM,잠비아
JE,저지
GQ,적도 기니
CN,중국
CF,중앙 아프리카
TW,중화민국
DJ,지부티
GI,지브랄타
ZW,짐바브웨
TD,차드
CZ,체코
CL,칠레
CM,카메룬
CV,카보 베르데
KZ,카자흐스탄
QA,카타르
KH,캄보디아
CA,캐나다
KE,케냐
KY,케이만 제도
KM,코모로
CR,코스타리카
CC,코코스 제도
CI,코트디부아르
CO,콜롬비아
CG,콩고
CD,콩고 민주 공화국
CU,쿠바
KW,쿠웨이트
CK,쿠크 제도
CW,큐라소
HR,크로아티아
CX,크리스마스도
KI,키르바시
KG,키르키즈스탄
TJ,타지키스탄
TZ,탄자니아
TH,태국
TC,터크스
TR,터키
TG,토고
TK,토켈로
TO,통가
TN,튀니지아
TM,트르크메니스탄
TT,트리니다드 토바고
TV,트발루
TL,티모르
PA,파나마
PY,파라과이
FO,파로에 제도
PK,파키스탄
PG,파푸아 뉴기니
PW,팔라우
PS,팔레스타인
PO,팔레스타인 해방기구
PE,페루
PT,포르투칼
FK,포클랜드(말비나스)제도
PL,폴랜드
PR,푸에르토리코
FR,프랑스
TF,프랑스 남부영토
GF,프랑스령 기아나
PF,프랑스령 폴리네시아
FJ,피지
FI,핀란드
PH,필리핀
PN,핏카인도
HM,허드도와 맥도날드도
HU,헝가리
AU,호주
HK,홍콩
